provider	product	model	event_type	source_date	source_time	source_url	status	note
Google	Gemini	Gemini 2.0 Flash	RELEASE/GA	2025-02-05	TOKEN_VAZIO	https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/	VERIFIED_PRIMARY	API/AI Studio/Vertex availability announced
Anthropic	Claude	Claude 3.7 Sonnet	RELEASE	2025-02-24	TOKEN_VAZIO	https://www.anthropic.com/news/claude-3-7-sonnet	VERIFIED_PRIMARY	Claude Code also introduced as limited research preview
OpenAI	GPT	GPT-4.5	RESEARCH_PREVIEW	2025-02-27	TOKEN_VAZIO	https://openai.com/index/introducing-gpt-4-5/	VERIFIED_PRIMARY	Launch post explicitly marks research preview
GitHub	Copilot	Claude 3.7 / 3.5, o3-mini, Gemini 2.0 Flash	GA	2025-04-04	TOKEN_VAZIO	https://github.blog/changelog/2025-04-04-multiple-new-models-are-now-generally-available-in-github-copilot/	VERIFIED_PRIMARY	Models promoted from preview to GA in Copilot
Anthropic	Claude	Claude Opus 4 + Sonnet 4	RELEASE	2025-05-22	TOKEN_VAZIO	https://www.anthropic.com/news/claude-4	VERIFIED_PRIMARY	Claude 4 generation introduced
Google	Gemini	Gemini 2.5 Pro + Flash	GA	2025-06-17	TOKEN_VAZIO	https://blog.google/products/gemini/gemini-2-5-model-family-expands/	VERIFIED_PRIMARY	Flash-Lite introduced in preview
Anthropic	Claude	Claude Opus 4.1	RELEASE	2025-08-05	TOKEN_VAZIO	https://www.anthropic.com/news/claude-opus-4-1	VERIFIED_PRIMARY	Upgrade to Opus 4
OpenAI	GPT	GPT-5	RELEASE	2025-08-07	TOKEN_VAZIO	https://openai.com/index/introducing-gpt-5/	VERIFIED_PRIMARY	General ChatGPT launch
OpenAI	API	GPT-5	API_RELEASE	2025-08-07	TOKEN_VAZIO	https://openai.com/index/introducing-gpt-5-for-developers/	VERIFIED_PRIMARY	API developer launch
GitHub	Copilot	multiple models	DEPRECATION_NOTICE	2025-09-23	TOKEN_VAZIO	https://github.blog/changelog/2025-09-23-upcoming-deprecation-of-select-copilot-models-from-claude-openai-and-gemini/	VERIFIED_PRIMARY	Effective deprecation date announced as 2025-10-23
Anthropic	Claude	Claude Sonnet 4.5	RELEASE	2025-09-29	TOKEN_VAZIO	https://www.anthropic.com/news/claude-sonnet-4-5	VERIFIED_PRIMARY	Model launch
Anthropic	Claude Code	2.0 + checkpoints	UPDATE	2025-09-29	TOKEN_VAZIO	https://www.anthropic.com/news/enabling-claude-code-to-work-more-autonomously	VERIFIED_PRIMARY	Terminal 2.0, checkpoints, VS Code beta
Anthropic	Claude	Claude Haiku 4.5	RELEASE	2025-10-15	TOKEN_VAZIO	https://www.anthropic.com/news/claude-haiku-4-5	VERIFIED_PRIMARY	Small model release
GitHub	Copilot	multiple models	DEPRECATED	2025-10-23	TOKEN_VAZIO	https://github.blog/changelog/2025-10-23-selected-claude-openai-and-gemini-copilot-models-are-now-deprecated/	VERIFIED_PRIMARY	Effective retirement across Copilot experiences
OpenAI	GPT	GPT-5.1 Instant + Thinking	RELEASE	2025-11-12	TOKEN_VAZIO	https://openai.com/index/gpt-5-1/	VERIFIED_PRIMARY	ChatGPT rollout
OpenAI	API	GPT-5.1	API_RELEASE	2025-11-13	TOKEN_VAZIO	https://openai.com/index/gpt-5-1-for-developers/	VERIFIED_PRIMARY	API release
Anthropic	Claude	Claude Opus 4.5	RELEASE	2025-11-24	TOKEN_VAZIO	https://www.anthropic.com/news/claude-opus-4-5	VERIFIED_PRIMARY	Apps/API/cloud availability
OpenAI	GPT	GPT-5.2	RELEASE	2025-12-11	TOKEN_VAZIO	https://openai.com/index/introducing-gpt-5-2/	VERIFIED_PRIMARY	Frontier model series launch
GitHub	Copilot	Claude Opus 4.1 / GPT-5 / GPT-5-Codex	DEPRECATION_NOTICE	2026-01-13	TOKEN_VAZIO	https://github.blog/changelog/2026-01-13-upcoming-deprecation-of-select-github-copilot-models-from-claude-and-openai/	VERIFIED_PRIMARY	Post later edited on 2026-02-19
Anthropic	Claude	Claude Opus 4.6	RELEASE	2026-02-05	TOKEN_VAZIO	https://www.anthropic.com/news/claude-opus-4-6	VERIFIED_PRIMARY	1M context beta
OpenAI	Codex	GPT-5.3-Codex	RELEASE	2026-02-05	TOKEN_VAZIO	https://openai.com/index/introducing-gpt-5-3-codex/	VERIFIED_PRIMARY	Agentic coding model
